r,U_00,U_01,U_11,hs_00,hs_01,hs_11,lj_00,lj_01,lj_11,coulomb_00,coulomb_01,coulomb_11
0.78,inf,inf,inf,inf,inf,inf,61.11032520990781,264.62903902121695,975.2949748678861,1.282051282051282,-1.282051282051282,1.282051282051282
0.79,inf,inf,inf,inf,inf,inf,51.23663492532994,224.48874006067726,831.6164253521406,1.2658227848101264,-1.2658227848101264,1.2658227848101264
0.8,inf,inf,inf,inf,inf,inf,42.94887185096741,190.62994601419638,710.1342773437487,1.25,-1.25,1.25
0.81,inf,inf,inf,inf,inf,inf,35.98357584165875,162.02220753665281,607.2305641170251,1.2345679012345678,-1.2345679012345678,1.2345679012345678
0.8200000000000001,inf,inf,inf,inf,inf,inf,30.123042839984254,137.81284263755532,519.9093171769181,1.2195121951219512,-1.2195121951219512,1.2195121951219512
0.8300000000000001,inf,inf,inf,inf,inf,inf,25.186998892416003,117.29471242388114,445.68403870834504,1.2048192771084336,-1.2048192771084336,1.2048192771084336
0.84,inf,inf,inf,inf,inf,inf,21.02586028874196,99.88012163356893,382.4865363401689,1.1904761904761905,-1.1904761904761905,1.1904761904761905
0.85,inf,inf,inf,inf,inf,inf,17.515264066338204,85.07962640605096,328.59287676829564,1.1764705882352942,-1.1764705882352942,1.1764705882352942
0.86,inf,inf,inf,inf,inf,inf,14.551618667040698,72.48478424591522,282.5630944089862,1.1627906976744187,-1.1627906976744187,1.1627906976744187
0.87,inf,inf,inf,inf,inf,inf,12.048475924053363,61.75407914284011,243.1919810799298,1.1494252873563218,-1.1494252873563218,1.1494252873563218
0.88,inf,inf,inf,inf,inf,inf,9.933565963894342,52.60141053152691,209.46882526497154,1.1363636363636365,-1.1363636363636365,1.1363636363636365
0.89,inf,inf,inf,inf,inf,inf,8.146368470645267,44.786657588103004,180.54439746319912,1.1235955056179776,-1.1235955056179776,1.1235955056179776
0.9,inf,inf,inf,inf,inf,inf,6.636118953252923,38.10792748730837,155.703816604289,1.1111111111111112,-1.1111111111111112,1.1111111111111112
0.91,inf,inf,inf,inf,inf,inf,5.360168630798919,32.395173267391876,134.3442009589158,1.0989010989010988,-1.0989010989010988,1.0989010989010988
0.92,inf,inf,inf,inf,inf,inf,4.282632428455795,27.50492819026364,115.95622044067701,1.0869565217391304,-1.0869565217391304,1.0869565217391304
0.93,inf,inf,inf,inf,inf,inf,3.3732722308027254,23.315952302592752,100.10883738403466,1.075268817204301,-1.075268817204301,1.075268817204301
0.9400000000000001,inf,inf,inf,inf,inf,inf,2.6065726491632555,19.725625917256483,86.43665890936163,1.0638297872340425,-1.0638297872340425,1.0638297872340425
0.9500000000000001,inf,inf,inf,inf,inf,inf,1.9609746568876094,16.64695598982231,74.62943297747256,1.0526315789473684,-1.0526315789473684,1.0526315789473684
0.96,inf,inf,inf,inf,inf,inf,1.4182389472676746,14.006086464800076,64.42330777645111,1.0416666666666667,-1.0416666666666667,1.0416666666666667
0.97,inf,inf,inf,inf,inf,inf,0.9629161000280808,11.740223870928036,55.59354456133322,1.0309278350515465,-1.0309278350515465,1.0309278350515465
0.98,inf,inf,inf,inf,inf,inf,0.5819048616304521,9.795905746053988,47.948430939215044,1.0204081632653061,-1.0204081632653061,1.0204081632653061
0.99,inf,inf,inf,inf,inf,inf,0.2640832553276775,8.127552653941036,41.324187589127504,1.0101010101010102,-1.0101010101010102,1.0101010101010102
1.0,1.0,inf,inf,0.0,inf,inf,0.0,6.696255238046089,35.58069868953598,1.0,-1.0,1.0
1.01,0.7717149699447776,inf,inf,0.0,inf,inf,-0.21838403995621247,5.468756433447264,30.59792661267466,0.9900990099009901,-0.9900990099009901,0.9900990099009901
1.02,0.5824793304446015,inf,inf,0.0,inf,inf,-0.3979128264181435,4.416596019421548,26.272896099507307,0.9803921568627451,-0.9803921568627451,0.9803921568627451
1.03,0.4264562804450418,inf,inf,0.0,inf,inf,-0.5444175059627252,3.5153904541215355,22.517153240862108,0.970873786407767,-0.970873786407767,0.970873786407767
1.04,0.2986685569381391,inf,inf,0.0,inf,inf,-0.6628699046003224,2.7442256390825084,19.25462102965433,0.9615384615384615,-0.9615384615384615,0.9615384615384615
1.05,0.1948690385446794,inf,inf,0.0,inf,inf,-0.7575119138362729,2.0851441149400523,16.419786713448158,0.9523809523809523,-0.9523809523809523,0.9523809523809523
1.06,0.11143151896439052,inf,inf,0.0,inf,inf,-0.8319647074507037,1.5227113513495265,13.956167225845007,0.9433962264150942,-0.9433962264150942,0.9433962264150942
1.07,0.045258380949227406,inf,inf,0.0,inf,inf,-0.889321058303109,1.043648392873627,11.815008059860899,0.9345794392523364,-0.9345794392523364,0.9345794392523364
1.08,-0.006297547022527494,inf,inf,0.0,inf,inf,-0.9322234729484533,0.6365202627186787,9.954178429879347,0.9259259259259258,-0.9259259259259258,0.9259259259259258
1.09,-0.045499214441570346,inf,inf,0.0,inf,inf,-0.9629304071021207,0.2914712918162384,8.337231744500606,0.9174311926605504,-0.9174311926605504,0.9174311926605504
1.1,-0.07428154028277356,-0.9090909090909091,inf,0.0,0.0,inf,-0.9833724493736826,0.0,6.932605518346729,0.9090909090909091,-0.9090909090909091,0.9090909090909091
1.11,-0.09429914899937741,-1.146133536710892,inf,0.0,0.0,inf,-0.9952000499002782,-0.24523263580999122,5.7129390794664925,0.9009009009009008,-0.9009009009009008,0.9009009009009008
